edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
3842,20854.0,337.0,MA01H3BQ1,10
3846,21073.0,105.0,MA01H3BQ1,10
3847,21073.0,242.0,MA01H3BQ1,10
3848,20311.0,337.0,MA5CTTPE8,10
3853,20854.0,367.0,MA01H3BQ1,10
3854,20854.0,367.0,MA01H3BQ1,10
3855,20854.0,367.0,MA01H3BQ1,10
3856,20854.0,337.0,MA01H3BQ1,10
3857,19592.0,416.0,MA01H3BQ1,10
3865,21073.0,242.0,MA01H3BQ1,10
3866,21073.0,396.0,MA01H3BQ1,10
3867,20311.0,337.0,MA5CTTPE8,10
3870,21073.0,396.0,MA01H3BQ1,10
3871,20311.0,511.0,MA5CTTPE8,10
3872,21073.0,709.0,MA01H3BQ1,10
3922,20832.0,324.0,MA01H3BQ1,10
3945,20832.0,712.0,MA01H3BQ1,10
3987,19814.0,827.0,MA5DT8Q54,10
4035,19774.0,320.0,MA5DT8Q54,10
4037,19774.0,430.0,MA5DT8Q54,10
4039,19774.0,320.0,MA5DT8Q54,10
4040,19774.0,568.0,MA5DT8Q54,10
4041,20311.0,624.0,MA5CTTPE8,10
4047,19817.0,992.0,MA01H3BQ1,10
4048,19720.0,974.0,MA01H3BQ1,10
4049,19720.0,974.0,MA01H3BQ1,10
4050,19774.0,320.0,MA5DT8Q54,10
4051,19774.0,766.0,MA5DT8Q54,10
4052,19774.0,766.0,MA5DT8Q54,10
4054,19817.0,992.0,MA01H3BQ1,10
4058,19774.0,637.0,MA5DT8Q54,10
4059,19774.0,506.0,MA5DT8Q54,10
4060,19774.0,568.0,MA5DT8Q54,10
4061,19774.0,635.0,MA5DT8Q54,10
4062,19774.0,635.0,MA5DT8Q54,10
4071,19774.0,543.0,MA5DT8Q54,10
4072,19774.0,543.0,MA5DT8Q54,10
4080,19774.0,506.0,MA5DT8Q54,10
4081,19774.0,724.0,MA5DT8Q54,10
4082,19774.0,724.0,MA5DT8Q54,10
4083,19817.0,916.0,MA01H3BQ1,10
4084,19817.0,789.0,MA01H3BQ1,10
4090,19774.0,766.0,MA5DT8Q54,10
4091,19774.0,923.0,MA5DT8Q54,10
4093,19817.0,789.0,MA01H3BQ1,10
4094,19774.0,706.0,MA5DT8Q54,10
4098,19774.0,637.0,MA5DT8Q54,10
4099,19774.0,892.0,MA5DT8Q54,10
4100,19774.0,847.0,MA5DT8Q54,10
4101,19774.0,908.0,MA5DT8Q54,10
4102,19774.0,818.0,MA5DT8Q54,10
4103,19774.0,818.0,MA5DT8Q54,10
4109,19817.0,686.0,MA01H3BQ1,10
4113,19817.0,714.0,MA01H3BQ1,10
4114,19817.0,714.0,MA01H3BQ1,10
4115,19774.0,847.0,MA5DT8Q54,10
4116,19774.0,915.0,MA5DT8Q54,10
4135,19663.0,730.0,MA01H3BQ1,10
4139,19817.0,597.0,MA01H3BQ1,10
4148,19754.0,736.0,MA5DT8Q54,10
4149,20845.0,859.0,MA01H3BQ1,10
4150,19799.0,304.0,MA01H3BQ1,10
4151,19754.0,736.0,MA5DT8Q54,10
4154,19817.0,877.0,MA01H3BQ1,10
4155,19754.0,876.0,MA5DT8Q54,10
4156,20845.0,732.0,MA01H3BQ1,10
4157,20845.0,732.0,MA01H3BQ1,10
4159,19799.0,692.0,MA01H3BQ1,10
4161,19674.0,858.0,MA5DT8Q54,10
4162,20845.0,543.0,MA01H3BQ1,10
4166,19674.0,755.0,MA5DT8Q54,10
4167,20845.0,673.0,MA01H3BQ1,10
4168,20845.0,732.0,MA01H3BQ1,10
4170,19799.0,815.0,MA01H3BQ1,10
4171,19799.0,961.0,MA01H3BQ1,10
4174,20845.0,383.0,MA01H3BQ1,10
4175,20845.0,383.0,MA01H3BQ1,10
4176,20845.0,572.0,MA01H3BQ1,10
4179,20845.0,383.0,MA01H3BQ1,10
4180,19815.0,867.0,MA01H3BQ1,10
4181,19815.0,437.0,MA01H3BQ1,10
4182,20845.0,606.0,MA01H3BQ1,10
4183,20845.0,512.0,MA01H3BQ1,10
4185,20845.0,690.0,MA01H3BQ1,10
4186,20845.0,690.0,MA01H3BQ1,10
4187,20845.0,690.0,MA01H3BQ1,10
4188,19671.0,654.0,MA5DT8Q54,10
4189,19671.0,654.0,MA5DT8Q54,10
4190,19671.0,967.0,MA5DT8Q54,10
4191,19799.0,961.0,MA01H3BQ1,10
4192,19815.0,787.0,MA01H3BQ1,10
4193,19774.0,923.0,MA5DT8Q54,10
4195,19815.0,787.0,MA01H3BQ1,10
4196,19671.0,814.0,MA5DT8Q54,10
4197,19671.0,753.0,MA5DT8Q54,10
4198,19671.0,753.0,MA5DT8Q54,10
4199,20845.0,894.0,MA01H3BQ1,10
4202,19671.0,973.0,MA5DT8Q54,10
4203,19671.0,814.0,MA5DT8Q54,10
4204,19671.0,973.0,MA5DT8Q54,10
4209,19671.0,753.0,MA5DT8Q54,10
4210,19671.0,890.0,MA5DT8Q54,10
4212,19815.0,914.0,MA01H3BQ1,10
4221,19671.0,890.0,MA5DT8Q54,10
4264,20021.0,743.0,MA5CTTPE8,10
4267,20021.0,743.0,MA5CTTPE8,10
4271,20021.0,831.0,MA5CTTPE8,10
4278,20021.0,743.0,MA5CTTPE8,10
4279,20021.0,866.0,MA5CTTPE8,10
4291,21063.0,623.0,MA01H3BQ1,10
4301,20661.0,956.0,MA5CTTPE8,10
4307,21063.0,433.0,MA01H3BQ1,10
4318,20322.0,476.0,MA5CTTPE8,10
4327,20322.0,146.0,MA5CTTPE8,10
4328,21063.0,433.0,MA01H3BQ1,10
4337,21063.0,219.0,MA01H3BQ1,10
4338,20322.0,146.0,MA5CTTPE8,10
4342,20320.0,224.0,MA5CTTPE8,10
